11,11,11,11,11,11,11,11,63,63,11,11,11,11,11,11,11,11,11,11,11,11
11,11,11,11,11,11,11,106,11,11,106,11,11,11,11,11,11,11,12,12,12,11
11,11,11,11,11,11,11,106,11,11,106,11,11,11,11,11,11,11,12,12,12,11
11,11,11,11,11,11,11,106,11,11,106,11,11,11,11,11,11,11,12,12,12,11
11,107,108,108,108,109,11,11,11,11,11,11,107,108,108,108,109,11,12,12,12,11
11,11,11,11,11,11,11,13,13,13,13,11,11,11,11,11,11,11,12,12,12,11
11,107,108,108,108,109,11,13,13,13,13,11,107,108,108,108,109,11,12,12,12,11
11,11,11,11,11,11,11,13,13,13,13,11,11,11,11,11,11,11,12,12,12,11
11,107,108,108,108,109,11,13,13,13,13,11,107,108,108,108,109,11,12,12,12,11
11,11,11,11,11,11,11,13,13,13,13,11,11,11,11,11,11,11,12,12,12,11
11,107,108,108,108,109,11,13,13,13,13,11,107,108,108,108,109,11,12,12,12,11
11,11,11,11,11,11,11,13,13,13,13,11,11,11,11,11,11,11,12,12,12,11
11,107,108,108,108,109,11,13,13,13,13,11,107,108,108,108,109,11,12,12,12,11
11,11,11,11,11,11,11,13,13,13,13,11,11,11,11,11,11,11,12,12,12,11
11,107,108,108,108,109,11,13,13,13,13,11,107,108,108,108,109,11,12,12,12,11
11,11,11,11,11,11,11,13,13,13,13,11,11,11,11,11,11,11,12,12,12,11
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
